"yards","week","touchdowns","player_id","on_home_team","interceptions","home_team","completions","away_team","attempts"
"406","5","3","698","False","0","Cleveland Browns","28","New England Patriots","40"
"376","6","3","698","True","0","New England Patriots","29","Cincinnati Bengals","35"
"222","7","2","698","False","0","Pittsburgh Steelers","19","New England Patriots","26"
"315","8","4","698","False","0","Buffalo Bills","22","New England Patriots","33"
"316","10","0","698","True","1","New England Patriots","23","Seattle Seahawks","32"
"280","11","4","698","False","0","San Francisco 49ers","24","New England Patriots","40"
"286","12","1","698","False","0","New York Jets","30","New England Patriots","50"
"269","13","1","698","True","0","New England Patriots","33","Los Angeles Rams","46"
"406","14","3","698","True","1","New England Patriots","25","Baltimore Ravens","38"
"188","15","0","698","False","0","Denver Broncos","16","New England Patriots","32"
"214","16","3","698","True","0","New England Patriots","17","New York Jets","27"
"276","17","3","698","False","0","Miami Dolphins","25","New England Patriots","33"
"287","19","2","698","True","2","New England Patriots","18","Houston Texans","38"
"384","20","3","698","True","0","New England Patriots","32","Pittsburgh Steelers","42"
"466","21","2","698","False","1","Atlanta Falcons","43","New England Patriots","62"
"334","1","2","4317","True","0","Atlanta Falcons","27","Tampa Bay Buccaneers","39"
"396","2","3","4317","False","1","Oakland Raiders","26","Atlanta Falcons","34"
"240","3","2","4317","False","0","New Orleans Saints","20","Atlanta Falcons","30"
"503","4","4","4317","True","1","Atlanta Falcons","28","Carolina Panthers","37"
"267","5","1","4317","False","0","Denver Broncos","15","Atlanta Falcons","28"
"335","6","3","4317","False","1","Seattle Seahawks","27","Atlanta Falcons","42"
"273","7","1","4317","True","1","Atlanta Falcons","22","Los Angeles Chargers","34"
"288","8","3","4317","True","0","Atlanta Falcons","28","Green Bay Packers","35"
"344","9","4","4317","False","0","Tampa Bay Buccaneers","25","Atlanta Falcons","34"
"267","10","1","4317","False","1","Philadelphia Eagles","18","Atlanta Falcons","33"
"269","12","2","4317","True","1","Atlanta Falcons","26","Arizona Cardinals","34"
"297","13","1","4317","True","1","Atlanta Falcons","22","Kansas City Chiefs","34"
"237","14","3","4317","False","0","Los Angeles Rams","18","Atlanta Falcons","28"
"286","15","2","4317","True","0","Atlanta Falcons","17","San Francisco 49ers","23"
"277","16","2","4317","False","0","Carolina Panthers","27","Atlanta Falcons","33"
"331","17","4","4317","True","0","Atlanta Falcons","27","New Orleans Saints","36"
"338","19","3","4317","True","0","Atlanta Falcons","26","Seattle Seahawks","37"
"392","20","4","4317","True","0","Atlanta Falcons","27","Green Bay Packers","38"
"284","21","2","4317","True","0","Atlanta Falcons","17","New England Patriots","23"
